Facility Name | Nyamutumbu | Database Name | Nyamutumby10Jul24.sql |File Size: 728.041745185852 | Site Id: ZW030728 | Status: Successful
Facility Name | Marembera  | Database Name | Marembera070724.sql |File Size: 687.1091194152832 | Site Id: ZW030304 | Status: Successful
Facility Name | Ruwa  | Database Name | RuwaPoly5jul24.sql |File Size: 681.7490129470825 | Site Id: ZW030273 | Status: Successful
Facility Name | Kadenge  | Database Name | Kadenge080724.sql |File Size: 658.263599395752 | Site Id: ZW030704 | Status: Successful
Facility Name | Hombiro | Database Name | Hombiro080724.sql |File Size: 636.1410341262817 | Site Id: ZW030340 | Status: Successful
Facility Name | Masikana | Database Name | Masikana180724.sql |File Size: 603.8475065231323 | Site Id: ZW030525 | Status: Successful
Facility Name | Dewe | Database Name | Dewe040724.sql |File Size: 585.9823694229126 | Site Id: ZW030338 | Status: Successful
Facility Name | Kowoyo | Database Name | Kowoyo260624.sql |File Size: 581.8815183639526 | Site Id: ZW030227 | Status: Successful
Facility Name | Virginia Clinic | Database Name | Virginia08Jul24.sql |File Size: 534.7686214447021 | Site Id: ZW030746 | Status: Successful
Facility Name | Nyembanzvere | Database Name | Nyembanzvere170724.sql |File Size: 532.8919734954834 | Site Id: ZW030563 | Status: Successful
Facility Name | - | Database Name | Dimbiti150724.sql |File Size: 520.5625 | Site Id: ZW030503 | Status: Corrupt Database
Facility Name | Shambamuto | Database Name | Shambamuto09Jul24.sql |File Size: 516.9437122344971 | Site Id: ZW030729 | Status: Successful
Facility Name | Bromley | Database Name | Bromley280624.sql |File Size: 452.02196502685547 | Site Id: ZW030245 | Status: Successful
Facility Name | Marirangwe  | Database Name | Marirangwe050724.sql |File Size: 443.04373264312744 | Site Id: ZW030924 | Status: Successful
Facility Name | Border Church | Database Name | BorderChrch20Jun24.sql |File Size: 438.58749294281006 | Site Id: ZW030501 | Status: Successful
Facility Name | Chitate | Database Name | Chitate06Jul24.sql |File Size: 356.4598321914673 | Site Id: ZW030701 | Status: Successful
Facility Name | Domboshava | Database Name | DomboshavaTC270624.sql |File Size: 347.9272975921631 | Site Id: ZW030202 | Status: Successful
Facility Name | Chikwaka | Database Name | Chikwaka26Jun24.sql |File Size: 320.9266471862793 | Site Id: ZW03020D | Status: Successful
Facility Name | Munamba | Database Name | Munamba09Jul24.sql |File Size: 264.8428945541382 | Site Id: ZW030706 | Status: Successful
Facility Name | Rusike | Database Name | Rusike05Jul24.sql |File Size: 259.4385652542114 | Site Id: ZW030249 | Status: Successful
Facility Name | John Reimer | Database Name | JohnReimer260624.sql |File Size: 216.13228797912598 | Site Id: ZW030247 | Status: Successful
Facility Name | Kubatsirana | Database Name | Kubatsirana250624.sql |File Size: 168.9584255218506 | Site Id: ZW030248 | Status: Successful
Facility Name | Chitowa 1 | Database Name | Chitowa1060724.sql |File Size: 104.39482116699219 | Site Id: ZW030723 | Status: Successful
Facility Name | Waterloo | Database Name | Waterloo07Jul24.sql |File Size: 36.00422763824463 | Site Id: ZW030747 | Status: Successful
Facility Name | Goso | Database Name | Goso11Jul24.sql |File Size: 24.718978881835938 | Site Id: ZW030772 | Status: Successful
